"word","n","freq","cumulative_sum"
"the",2941543,0.042784609454078,0.042784609454078
"to",1921689,0.0279508793028685,0.0707354887569464
"and",1588033,0.0230978679234632,0.0938333566804097
"a",1572926,0.0228781372939865,0.116711493974396
"i",1495477,0.0217516451034563,0.138463139077852
"of",1293104,0.0188081390017097,0.157271278079562
"in",1022158,0.0148672417266589,0.172138519806221
"you",848113,0.0123357650994483,0.184474284905669
"is",811354,0.011801107112493,0.196275392018162
"for",774528,0.011265474613578,0.20754086663174
"that",718805,0.0104549861071684,0.217995852738909
"it",709145,0.0103144818455185,0.228310334584427
"on",570910,0.0083038600433268,0.236614194627754
"my",563807,0.00820054723064573,0.2448147418584
"with",478933,0.00696605875204609,0.251780800610446
"this",430196,0.00625718129862678,0.258037981909073
"was",412657,0.00600207733950904,0.264040059248582
"be",407072,0.00592084376794438,0.269960903016526
"have",397593,0.0057829721430811,0.275743875159607
"at",373379,0.00543078061186057,0.281174655771468
"are",362475,0.00527218242666074,0.286446838198129
"me",341250,0.00496346576480579,0.291410303962934
"but",339011,0.00493089961140681,0.296341203574341
"so",331551,0.00482239424992564,0.301163597824267
"we",325991,0.00474152430222653,0.305905122126493
"as",308942,0.00449354737087364,0.310398669497367
"not",304689,0.00443168767886567,0.314830357176233
"your",272658,0.00396579823736386,0.318796155413596
"all",269030,0.00391302914199473,0.322709184555591
"just",253794,0.00369142221337178,0.326400606768963
"from",243449,0.00354095465780573,0.329941561426769
"its",242635,0.0035291150647433,0.333470676491512
"out",228439,0.00332263488892738,0.336793311380439
"im",227128,0.00330356645341775,0.340096877833857
"up",224886,0.00327095666515491,0.343367834499012
"what",224470,0.0032649059640321,0.346632740463044
"like",223375,0.00324897923872086,0.349881719701765
"if",218760,0.00318185427313967,0.353063573974905
"or",217837,0.00316842928002344,0.356232003254928
"he",217142,0.00315832053656105,0.359390323791489
"they",216613,0.00315062625556594,0.362540950047055
"will",215330,0.00313196507878573,0.365672915125841
"about",212936,0.00309714445742032,0.368770059583261
"one",212097,0.00308494124049235,0.371855000823754
"do",200681,0.00291889603852598,0.374773896862279
"can",191681,0.0027879914469267,0.377561888309206
"when",191548,0.00278605696796196,0.380347945277168
"by",191463,0.00278482064681908,0.383132765923987
"get",186077,0.00270648152122422,0.385839247445211
"an",185030,0.00269125295373484,0.388530500398946
"time",166857,0.00242692749338666,0.390957427892333
"more",161713,0.00235210824681037,0.393309536139143
"there",159360,0.00231788396858447,0.395627420107728
"his",155572,0.0022627876804758,0.397890207788204
"had",155188,0.00225720241790089,0.400147410206105
"some",154265,0.00224377742478466,0.402391187630889
"love",151156,0.00219855716086442,0.404589744791754
"good",150598,0.00219044107618527,0.406780185867939
